Parse the table below.
Return JSON only: an array of objects with fields id, owner, status, cost_usd, eta_days.
Use numbers for numeric fields and null for missing values.
Do not include any fields not listed above.

Table:
id | owner | status | cost_usd | eta_days
----|------|--------|----------|---------
PRJ-001 | team-2 | active | 5037 | 4
PRJ-002 | team-3 | blocked | 5074 | 7
PRJ-003 | team-4 | done | 5111 | 10
PRJ-004 | team-5 | planned | 5148 | 13
PRJ-005 | team-6 | active | 5185 | 16
PRJ-006 | team-7 | blocked | 5222 | 19
PRJ-007 | team-1 | done | 5259 | 22
PRJ-008 | team-2 | planned | 5296 | 25
PRJ-009 | team-3 | active | 5333 | 
PRJ-010 | team-4 | blocked | 5370 | 31
PRJ-011 | team-5 | done |  | 34
PRJ-012 | team-6 | planned | 5444 | 37
PRJ-013 | team-7 | active | 5481 | 40
PRJ-014 | team-1 | blocked | 5518 | 43
PRJ-015 | team-2 | done | 5555 | 1
PRJ-016 | team-3 | planned | 5592 | 4
PRJ-017 | team-4 | active | 5629 | 7
PRJ-018 | team-5 | blocked | 5666 | 
PRJ-019 | team-6 | done | 5703 | 13
PRJ-020 | team-7 | planned | 5740 | 16
PRJ-021 | team-1 | active | 5777 | 19
PRJ-022 | team-2 | blocked |  | 22
PRJ-023 | team-3 | done | 5851 | 25
PRJ-024 | team-4 | planned | 5888 | 28
PRJ-025 | team-5 | active | 5925 | 31
PRJ-026 | team-6 | blocked | 5962 | 34
PRJ-027 | team-7 | done | 5999 | 
PRJ-028 | team-1 | planned | 6036 | 40
PRJ-029 | team-2 | active | 6073 | 43
PRJ-030 | team-3 | blocked | 6110 | 1
PRJ-031 | team-4 | done | 6147 | 4
PRJ-032 | team-5 | planned | 6184 | 7
PRJ-033 | team-6 | active |  | 10
PRJ-034 | team-7 | blocked | 6258 | 13
PRJ-035 | team-1 | done | 6295 | 16
PRJ-036 | team-2 | planned | 6332 | 
PRJ-037 | team-3 | active | 6369 | 22
PRJ-038 | team-4 | blocked | 6406 | 25
PRJ-039 | team-5 | done | 6443 | 28
PRJ-040 | team-6 | planned | 6480 | 31
PRJ-041 | team-7 | active | 6517 | 34
PRJ-042 | team-1 | blocked | 6554 | 37
PRJ-043 | team-2 | done | 6591 | 40
PRJ-044 | team-3 | planned |  | 43
PRJ-045 | team-4 | active | 6665 | 
PRJ-046 | team-5 | blocked | 6702 | 4
PRJ-047 | team-6 | done | 6739 | 7
